,latest_timestampt,ticker,close
0,2024-06-18 14:59:00,CAC,31.93
1,2024-06-18 14:59:00,CCS,80.32
2,2024-06-18 14:59:00,CIVB,13.85
3,2024-06-18 14:59:00,CNOB,17.65
4,2024-06-20 09:21:55,CVLT,119.0
5,2024-06-18 14:59:00,DCOM,18.48
6,2024-06-20 09:21:55,EPAC,38.65
7,2024-06-18 14:59:00,FFIC,12.03
8,2024-06-18 14:59:00,FISI,17.59
9,2024-06-18 14:59:00,FLIC,9.63
10,2024-06-18 14:59:00,FRME,31.74
11,2024-06-18 14:59:00,FRST,9.63
12,2024-06-20 09:21:55,GFF,66.41
13,2024-06-20 09:21:55,HLT,217.12
14,2024-06-18 14:59:00,IBTX,43.11
15,2024-06-20 09:21:55,IR,94.58
16,2024-06-18 14:59:00,KBH,69.75
17,2024-06-18 14:59:00,LEN,148.72
18,2024-06-18 14:59:00,LILA,8.29
19,2024-06-18 14:59:00,LILAK,8.32
20,2024-06-20 09:21:55,LRCX,1089.0
21,2024-06-18 14:59:00,MHO,120.59
22,2024-06-18 14:59:00,MNTS,0.4905
23,2024-06-18 14:59:00,MTH,164.01
24,2024-06-18 14:59:00,MYFW,17.13
25,2024-06-18 14:59:00,NWBI,10.87
26,2024-06-18 14:59:00,OCFC,14.83
27,2024-06-18 14:59:00,PHM,111.14
28,2024-06-18 14:59:00,PPBI,21.07
29,2024-06-20 09:21:55,QTWO,57.87
30,2024-06-18 14:59:00,RBB,17.2
31,2024-06-18 14:59:00,SFST,26.55
32,2024-06-20 09:21:55,SKYW,81.42
33,2024-06-20 09:21:55,SPXC,141.68
34,2024-06-18 14:59:00,TCBK,37.15
35,2024-06-18 14:59:00,TCMD,11.49
36,2024-06-20 09:21:55,TDG,1339.48
37,2024-06-18 14:59:00,THFF,35.62
38,2024-06-18 14:59:00,TMHC,54.75
39,2024-06-18 14:59:00,TMP,45.11
40,2024-06-18 14:59:00,TPH,37.11
41,2024-06-20 09:21:55,TXRH,170.03
42,2024-06-20 09:21:55,WAB,163.05
43,2024-06-18 14:59:00,WSBC,26.56
