,latest_timestamp,ticker,position,marketvalue,averagecost,close,updated_marketvalue,total_cost,pnl_percent
0,2024-06-27 02:08:54.757616,IR,0.0,0.0,0.0,94.58,0.0,0.0,
1,2024-06-27 02:08:54.761208,LRCX,0.0,0.0,0.0,1089.0,0.0,0.0,
2,2024-06-27 19:44:30.386072,SPXC,1072.0,151897.03,141.72646455,144.5,154904.0,151930.7699976,0.019569636897430104
3,2024-06-27 19:44:58.804273,QTWO,-500.0,-30327.19,60.64814765,60.66,-30330.0,-30324.073825,0.00019542806267391457
4,2024-06-27 19:45:01.337699,TDG,0.0,0.0,0.0,1339.48,0.0,0.0,
5,2024-06-27 19:45:06.449101,TXRH,50.0,8699.38,174.03738665,174.32,8716.0,8701.8693325,0.0016238657419531664
6,2024-06-27 19:45:07.423241,SKYW,-438.0,-35788.5,81.60256525,81.78,-35819.64,-35741.9235795,0.0021743771100382397
7,2024-06-27 19:45:07.426883,EPAC,-4515.0,-172093.88,38.0778675,39.3,-177439.5,-171921.5717625,0.03209561302244664
8,2024-06-27 19:45:10.091516,WAB,-3105.0,-492772.21,158.65960975,164.0,-509220.0,-492638.08827375,0.0336594187923118
9,2024-06-27 19:45:10.095165,CVLT,200.0,23986.23,119.975,120.9,24180.0,23995.0,0.007709939570743905
